  1.00000000E-02 -1.45000000E-02  2.75500000E-01
  1.10000000E-01 -1.35456680E-02  2.76109152E-01
  2.10000000E-01 -1.10432701E-02  2.77679668E-01
  3.10000000E-01 -7.85705532E-03  2.79358396E-01
  4.10000000E-01 -4.87850521E-03  2.80264183E-01
  5.10000000E-01 -2.64349554E-03  2.79875166E-01
  6.10000000E-01 -1.25007260E-03  2.78110958E-01
  7.10000000E-01 -5.15889558E-04  2.75175057E-01
  8.10000000E-01 -1.85798877E-04  2.71347062E-01
  9.10000000E-01 -5.83975032E-05  2.66855885E-01
  1.01000000E+00 -1.60180749E-05  2.61849491E-01
  1.11000000E+00 -3.83434518E-06  2.56415481E-01
  1.21000000E+00 -8.01008159E-07  2.50609806E-01
  1.31000000E+00 -1.46031827E-07  2.44475898E-01
  1.41000000E+00 -2.32339443E-08  2.38053621E-01
  1.51000000E+00 -3.22599149E-09  2.31382350E-01
  1.61000000E+00 -3.90902399E-10  2.24501607E-01
  1.71000000E+00 -4.13369377E-11  2.17450894E-01
  1.81000000E+00 -3.81481175E-12  2.10269302E-01
  1.91000000E+00 -3.07236472E-13  2.02995103E-01
  2.01000000E+00 -2.15942076E-14  1.95665336E-01
  2.11000000E+00 -1.32454471E-15  1.88315440E-01
  2.21000000E+00 -7.09023810E-17  1.80978922E-01
  2.31000000E+00 -3.31222524E-18  1.73687069E-01
  2.41000000E+00 -1.35034193E-19  1.66468720E-01
  2.51000000E+00 -4.80432620E-21  1.59350095E-01
  2.61000000E+00 -1.49171573E-22  1.52354679E-01
  2.71000000E+00 -4.04207621E-24  1.45503168E-01
  2.81000000E+00 -9.55845660E-26  1.38813462E-01
  2.91000000E+00 -1.97258576E-27  1.32300721E-01
  3.01000000E+00 -3.55262085E-29  1.25977448E-01
  3.11000000E+00 -5.58375912E-31  1.19853619E-01
  3.21000000E+00 -7.65895177E-33  1.13936845E-01
  3.31000000E+00 -9.16804721E-35  1.08232541E-01
  3.41000000E+00 -9.57743457E-37  1.02744126E-01
  3.51000000E+00 -8.73145044E-39  9.74732188E-02
  3.61000000E+00 -6.94685827E-41  9.24198405E-02
  3.71000000E+00 -4.82342278E-43  8.75826143E-02
  3.81000000E+00 -2.92271904E-45  8.29589562E-02
  3.91000000E+00 -1.54555211E-47  7.85452575E-02
  4.01000000E+00 -7.13255426E-50  7.43370535E-02
  4.11000000E+00 -2.87257490E-52  7.03291801E-02
  4.21000000E+00 -1.00963055E-54  6.65159145E-02
  4.31000000E+00 -3.09683777E-57  6.28911030E-02
  4.41000000E+00 -8.28970873E-60  5.94482723E-02
  4.51000000E+00 -1.93653314E-62  5.61807292E-02
  4.61000000E+00 -3.94798454E-65  5.30816455E-02
  4.71000000E+00 -7.02410182E-68  5.01441312E-02
  4.81000000E+00 -1.09061383E-70  4.73612972E-02
  4.91000000E+00 -1.47780131E-73  4.47263072E-02
  5.01000000E+00 -1.74753524E-76  4.22324207E-02
  5.11000000E+00 -1.80343579E-79  3.98730281E-02
  5.21000000E+00 -1.62420286E-82  3.76416789E-02
  5.31000000E+00 -1.27657021E-85  3.55321036E-02
  5.41000000E+00 -8.75616595E-89  3.35382301E-02
  5.51000000E+00 -5.24140973E-92  3.16541961E-02
  5.61000000E+00 -2.73808599E-95  2.98743569E-02
  5.71000000E+00 -1.24827681E-98  2.81932911E-02
  5.81000000E+00 -4.96637566-102  2.66058021E-02
  5.91000000E+00 -1.72438040-105  2.51069184E-02
  6.01000000E+00 -5.22506186-109  2.36918919E-02
  6.11000000E+00 -1.38170281-112  2.23561943E-02
  6.21000000E+00 -3.18861946-116  2.10955127E-02
