  1.00000000E-02  9.00000000E-03  1.89000000E-01
  1.40000000E-01  8.48845132E-03  1.88309716E-01
  2.70000000E-01  7.12174340E-03  1.86450935E-01
  4.00000000E-01  5.31515688E-03  1.83843452E-01
  5.30000000E-01  3.52872455E-03  1.80952097E-01
  6.60000000E-01  2.08396940E-03  1.78104950E-01
  7.90000000E-01  1.09480512E-03  1.75424206E-01
  9.20000000E-01  5.11627891E-04  1.72870202E-01
  1.05000000E+00  2.12688255E-04  1.70332696E-01
  1.18000000E+00  7.86510837E-05  1.67705323E-01
  1.31000000E+00  2.58724657E-05  1.64918754E-01
  1.44000000E+00  7.57081850E-06  1.61941729E-01
  1.57000000E+00  1.97069655E-06  1.58769059E-01
  1.70000000E+00  4.56319033E-07  1.55409614E-01
  1.83000000E+00  9.39916595E-08  1.51878683E-01
  1.96000000E+00  1.72219355E-08  1.48194173E-01
  2.09000000E+00  2.80702644E-09  1.44375011E-01
  2.22000000E+00  4.06989267E-10  1.40440481E-01
  2.35000000E+00  5.24917818E-11  1.36409910E-01
  2.48000000E+00  6.02242748E-12  1.32302456E-01
  2.61000000E+00  6.14644147E-13  1.28136921E-01
  2.74000000E+00  5.58017511E-14  1.23931590E-01
  2.87000000E+00  4.50654602E-15  1.19704077E-01
  3.00000000E+00  3.23751434E-16  1.15471190E-01
  3.13000000E+00  2.06895715E-17  1.11248813E-01
  3.26000000E+00  1.17615131E-18  1.07051802E-01
  3.39000000E+00  5.94766921E-20  1.02893915E-01
  3.52000000E+00  2.67548377E-21  9.87877455E-02
  3.65000000E+00  1.07060617E-22  9.47446911E-02
  3.78000000E+00  3.81091330E-24  9.07749331E-02
  3.91000000E+00  1.20670275E-25  8.68874383E-02
  4.04000000E+00  3.39893955E-27  8.30899775E-02
  4.17000000E+00  8.51644774E-29  7.93891577E-02
  4.30000000E+00  1.89821516E-30  7.57904684E-02
  4.43000000E+00  3.76360724E-32  7.22983380E-02
  4.56000000E+00  6.63796655E-34  6.89161976E-02
  4.69000000E+00  1.04144833E-35  6.56465525E-02
  4.82000000E+00  1.45349086E-37  6.24910558E-02
  4.95000000E+00  1.80450790E-39  5.94505856E-02
  5.08000000E+00  1.99286178E-41  5.65253216E-02
  5.21000000E+00  1.95779616E-43  5.37148210E-02
  5.34000000E+00  1.71091988E-45  5.10180925E-02
  5.47000000E+00  1.33003718E-47  4.84336669E-02
  5.60000000E+00  9.19749997E-50  4.59596638E-02
  5.73000000E+00  5.65780161E-52  4.35938541E-02
  5.86000000E+00  3.09597568E-54  4.13337181E-02
  5.99000000E+00  1.50702089E-56  3.91764984E-02
  6.12000000E+00  6.52548674E-59  3.71192478E-02
  6.25000000E+00  2.51349749E-61  3.51588734E-02
  6.38000000E+00  8.61223570E-64  3.32921746E-02
  6.51000000E+00  2.62497556E-66  3.15158779E-02
  6.64000000E+00  7.11715669E-69  2.98266670E-02
  6.77000000E+00  1.71656280E-71  2.82212091E-02
  6.90000000E+00  3.68285629E-74  2.66961772E-02
  7.03000000E+00  7.02880920E-77  2.52482699E-02
  7.16000000E+00  1.19330275E-79  2.38742279E-02
  7.29000000E+00  1.80215208E-82  2.25708471E-02
  7.42000000E+00  2.42105211E-85  2.13349906E-02
  7.55000000E+00  2.89326854E-88  2.01635974E-02
  7.68000000E+00  3.07570910E-91  1.90536899E-02
  7.81000000E+00  2.90853086E-94  1.80023794E-02
  7.94000000E+00  2.44666214E-97  1.70068705E-02
  8.07000000E+00  1.83082247-100  1.60644637E-02
  8.20000000E+00  1.21868193-103  1.51725574E-02
  8.33000000E+00  7.21616434-107  1.43286488E-02
  8.46000000E+00  3.80096933-110  1.35303339E-02
  8.59000000E+00  1.78096023-113  1.27753073E-02
  8.72000000E+00  7.42311150-117  1.20613605E-02
  8.85000000E+00  2.75226123-120  1.13863811E-02
  8.98000000E+00  9.07747847-124  1.07483502E-02
  9.11000000E+00  2.66325474-127  1.01453404E-02
  9.24000000E+00  6.95075685-131  9.57551362E-03
  9.37000000E+00  1.61370220-134  9.03711791E-03
  9.50000000E+00  3.33262609-138  8.52848514E-03
  9.63000000E+00  6.12239993-142  8.04802786E-03
  9.76000000E+00  1.00052676-145  7.59423649E-03
  9.89000000E+00  1.45447957-149  7.16567628E-03
  1.00200000E+01  1.88086858-153  6.76098439E-03
  1.01500000E+01  2.16362097-157  6.37886693E-03
  1.02800000E+01  2.21399083-161  6.01809603E-03
  1.04100000E+01  2.01531233-165  5.67750699E-03
  1.05400000E+01  1.63185216-169  5.35599547E-03
  1.06700000E+01  1.17541483-173  5.05251472E-03
  1.08000000E+01  7.53136037-178  4.76607294E-03
  1.09300000E+01  4.29267092-182  4.49573069E-03
  1.10600000E+01  2.17647494-186  4.24059838E-03
  1.11900000E+01  9.81638654-191  3.99983385E-03
  1.13200000E+01  3.93841555-195  3.77264005E-03
  1.14500000E+01  1.40560512-199  3.55826280E-03
  1.15800000E+01  4.46248768-204  3.35598864E-03
  1.17100000E+01  1.26026720-208  3.16514276E-03
  1.18400000E+01  3.16606733-213  2.98508704E-03
  1.19700000E+01  7.07537665-218  2.81521818E-03
  1.21000000E+01  1.40653612-222  2.65496584E-03
  1.22300000E+01  2.48727679-227  2.50379097E-03
  1.23600000E+01  3.91263427-232  2.36118416E-03
  1.24900000E+01  5.47502740-237  2.22666406E-03
  1.26200000E+01  6.81514728-242  2.09977591E-03
  1.27500000E+01  7.54633534-247  1.98009010E-03
  1.28800000E+01  7.43308093-252  1.86720085E-03
  1.30100000E+01  6.51288678-257  1.76072492E-03
